Date,Effective Federal Funds Rate (%)
12/31/2002,1.238387097
12/31/2003,1.127535202
12/31/2004,1.348927821
12/31/2005,3.21284415
12/31/2006,4.962731055
12/31/2007,5.018884729
12/31/2008,1.926586145
12/31/2009,0.159082693
12/31/2010,0.176003456
12/31/2011,0.101815476
12/31/2012,0.140493511
12/31/2013,0.107575269
12/31/2014,0.088348438
12/31/2015,0.133466334
12/31/2016,0.393027809
12/31/2017,1.000797555
12/31/2018,1.832437724
12/31/2019,2.158595878
12/31/2020,0.375562384
8/31/2021,0.078242512
