Date,Loss Function
12/31/2002,-4.053360095
12/31/2003,-4.154179114
12/31/2004,-2.39779883
12/31/2005,-1.155495916
12/31/2006,-0.197331535
12/31/2007,-0.315346036
12/31/2008,-3.88122385
12/31/2009,-29.58215199
12/31/2010,-31.85992184
12/31/2011,-24.62175467
12/31/2012,-16.68854101
12/31/2013,-11.61362874
12/31/2014,-4.93612489
12/31/2015,-2.235106866
12/31/2016,-0.984018456
12/31/2017,-0.260015357
12/31/2018,0.017862166
12/31/2019,0.020275565
12/31/2020,-29.06426569
8/31/2021,-2.301680525
