Date,M4 Including Treasuries (DM4)
1/31/2010," 1,175.47 "
2/28/2010," 1,167.37 "
3/31/2010," 1,157.94 "
4/30/2010," 1,162.50 "
5/31/2010," 1,165.81 "
6/30/2010," 1,151.92 "
7/31/2010," 1,166.97 "
8/31/2010," 1,174.09 "
9/30/2010," 1,175.25 "
10/31/2010," 1,187.02 "
11/30/2010," 1,181.75 "
12/31/2010," 1,175.28 "
1/31/2011," 1,170.36 "
2/28/2011," 1,170.14 "
3/31/2011," 1,175.33 "
4/30/2011," 1,190.74 "
5/31/2011," 1,201.64 "
6/30/2011," 1,191.95 "
7/31/2011," 1,193.94 "
8/31/2011," 1,189.75 "
9/30/2011," 1,188.22 "
10/31/2011," 1,188.38 "
11/30/2011," 1,189.78 "
12/31/2011," 1,184.98 "
1/31/2012," 1,196.66 "
2/29/2012," 1,200.53 "
3/31/2012," 1,201.83 "
4/30/2012," 1,207.79 "
5/31/2012," 1,208.60 "
6/30/2012," 1,219.42 "
7/31/2012," 1,227.35 "
8/31/2012," 1,230.56 "
9/30/2012," 1,240.61 "
10/31/2012," 1,241.20 "
11/30/2012," 1,251.87 "
12/31/2012," 1,266.13 "
1/31/2013," 1,270.64 "
2/28/2013," 1,265.27 "
3/31/2013," 1,262.13 "
4/30/2013," 1,270.62 "
5/31/2013," 1,269.23 "
6/30/2013," 1,271.39 "
7/31/2013," 1,271.69 "
8/31/2013," 1,273.47 "
9/30/2013," 1,280.73 "
10/31/2013," 1,286.42 "
11/30/2013," 1,285.92 "
12/31/2013," 1,290.64 "
1/31/2014," 1,282.53 "
2/28/2014," 1,292.62 "
3/31/2014," 1,296.72 "
4/30/2014," 1,292.46 "
5/31/2014," 1,299.85 "
6/30/2014," 1,301.35 "
7/31/2014," 1,302.25 "
8/31/2014," 1,303.30 "
9/30/2014," 1,304.42 "
10/31/2014," 1,307.76 "
11/30/2014," 1,306.70 "
12/31/2014," 1,318.05 "
1/31/2015," 1,320.66 "
2/28/2015," 1,329.58 "
3/31/2015," 1,331.76 "
4/30/2015," 1,331.30 "
5/31/2015," 1,334.42 "
6/30/2015," 1,337.08 "
7/31/2015," 1,350.34 "
8/31/2015," 1,357.19 "
9/30/2015," 1,351.27 "
10/31/2015," 1,349.63 "
11/30/2015," 1,362.90 "
12/31/2015," 1,367.38 "
1/31/2016," 1,374.02 "
2/29/2016," 1,385.17 "
3/31/2016," 1,392.07 "
4/30/2016," 1,396.32 "
5/31/2016," 1,402.07 "
6/30/2016," 1,413.66 "
7/31/2016," 1,414.47 "
8/31/2016," 1,422.17 "
9/30/2016," 1,422.89 "
10/31/2016," 1,425.97 "
11/30/2016," 1,433.39 "
12/31/2016," 1,437.35 "
1/31/2017," 1,440.66 "
2/28/2017," 1,442.99 "
3/31/2017," 1,447.24 "
4/30/2017," 1,458.14 "
5/31/2017," 1,464.41 "
6/30/2017," 1,467.70 "
7/31/2017," 1,472.59 "
8/31/2017," 1,481.87 "
9/30/2017," 1,492.29 "
10/31/2017," 1,498.31 "
11/30/2017," 1,504.52 "
12/31/2017," 1,508.55 "
1/31/2018," 1,512.27 "
2/28/2018," 1,514.93 "
3/31/2018," 1,521.05 "
4/30/2018," 1,524.66 "
5/31/2018," 1,531.18 "
6/30/2018," 1,538.02 "
7/31/2018," 1,543.23 "
8/31/2018," 1,548.86 "
9/30/2018," 1,552.58 "
10/31/2018," 1,556.58 "
11/30/2018," 1,557.72 "
12/31/2018," 1,570.68 "
1/31/2019," 1,577.01 "
2/28/2019," 1,582.98 "
3/31/2019," 1,589.09 "
4/30/2019," 1,594.09 "
5/31/2019," 1,602.35 "
6/30/2019," 1,611.73 "
7/31/2019," 1,619.59 "
8/31/2019," 1,632.09 "
9/30/2019," 1,643.00 "
10/31/2019," 1,657.62 "
11/30/2019," 1,670.26 "
12/31/2019," 1,676.31 "
