Date,VIX,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
1/31/2010,-42.90665163,-0.71721313,-0.042046609,3.741935485,-3.423102778
2/28/2010,-43.14505264,-0.57153367,-0.057092332,2.662832512,4.918903667
3/31/2010,-44.7200178,-0.65537578,-0.063349169,2.413548388,11.20156781
4/30/2010,-37.14060606,-0.78127332,-0.069869279,2.176,16.33257559
5/31/2010,-13.72316667,-0.78083324,-0.067338583,1.824193548,27.6642147
6/30/2010,-6.25406927,-0.70393914,-0.061479696,1.765000001,31.90725637
7/31/2010,-2.43794371,-0.65999131,-0.053623977,1.88064516,31.65756867
8/31/2010,-5.23266234,-0.67901483,-0.054210881,1.86516129,31.40710748
9/30/2010,2.96190476,-0.66174039,-0.049378847,1.713,35.3839234
10/31/2010,33.04617917,-0.17089918,-0.027019664,0.92451613,36.76540174
11/30/2010,35.18666166,0.04653878,-0.00504843,0.344,27.77884633
12/31/2010,27.44636364,0.07684875,0.006338504,0.102258064,29.48363649
1/31/2011,20.71218422,-0.02432104,0.021937086,0.102580645,25.05802851
2/28/2011,17.92052632,-0.08766289,0.026278769,0.126071429,22.1153142
3/31/2011,29.98415021,-0.0286605,0.03586601,-0.00967742,20.48056672
4/30/2011,19.4592381,0.04551044,0.04204739,-0.148333333,17.41419075
5/31/2011,-14.96957143,0.07191189,0.046407158,-0.129999999,7.21086204
6/30/2011,-11.53909091,0.06332653,0.047129628,-0.055000001,0.64261718
7/31/2011,-5.74024893,0.06474416,0.047985377,-0.138387096,1.67189784
8/31/2011,10.87445511,0.08133816,0.049886522,-0.122580645,2.97315592
9/30/2011,16.42142857,0.1349745,0.046740824,-0.158666667,1.19615323
10/31/2011,16.33465369,0.15537688,0.033656263,-0.193870969,0.3316139
11/30/2011,15.53947618,0.13579219,0.02754816,-0.188666666,12.43363503
12/31/2011,11.1480736,0.11403683,0.027241601,-0.176774193,2.66320892
1/31/2012,6.24015789,0.09665642,0.027955233,-0.14483871,1.3299695
2/29/2012,6.1005,0.05864542,0.027561143,-0.083349754,-0.98182317
3/31/2012,-7.51229249,-0.00765486,0.01966868,0.013870969,-1.2631638
4/30/2012,2.75928571,-0.06701085,0.009494133,0.141666666,0.14189579
5/31/2012,19.10846104,-0.12420795,0.001019392,0.168709677,1.29034372
6/30/2012,12.74095238,-0.1791825,-0.003886539,0.154333334,5.33446205
7/31/2012,4.67261905,-0.21181913,-0.007364425,0.197096774,3.00919634
8/31/2012,-29.62278655,-0.22048472,-0.010801854,0.13,2.51958991
9/30/2012,-35.25764411,-0.23029429,-0.0068892,0.171,4.76691224
10/31/2012,-29.00857143,-0.22402566,0.00333044,0.208387098,1.75052619
11/30/2012,-27.08619047,-0.18676619,0.001848483,0.193,-5.76990602
12/31/2012,-15.18119265,-0.18591389,-0.003845893,0.204516129,-3.78744488
1/31/2013,-9.6352619,-0.15847966,-0.007561156,0.147096774,-5.96809213
2/28/2013,-5.33836842,-0.11120191,-0.014919084,0.094199508,-2.51106342
3/31/2013,1.4204328,-0.01658615,-0.020399801,0.028709676,-2.84506099
4/30/2013,-5.43472727,0.05841826,-0.017082086,-0.035666666,-4.38906958
5/31/2013,-11.59857143,0.12294283,-0.010987727,-0.108709678,-2.46372844
6/30/2013,-5.83722294,0.17135527,-0.009147524,-0.137666667,-3.34804904
7/31/2013,-1.92271645,0.21691798,-0.006866088,-0.149354839,-0.81536753
8/31/2013,17.85999999,0.25627826,-0.005436032,-0.085806452,-1.56738944
9/30/2013,20.65252632,0.28449873,-0.012446785,-0.124666666,-6.39059061
10/31/2013,15.68449275,0.30617132,-0.017887419,-0.159032259,-4.66564081
11/30/2013,11.46209524,0.29927718,-0.024515787,-0.156000001,-2.291419797
12/31/2013,4.551,0.31574927,-0.019593489,-0.172258065,2.955855193
1/31/2014,7.45847618,0.2973993,-0.021272854,-0.131612903,6.872666204
2/28/2014,5.74523684,0.25180973,-0.014464216,-0.119778326,1.693766413
3/31/2014,4.9409394,0.18753556,0.001839846,-0.082258064,-0.095006208
4/30/2014,4.08654978,0.13973922,0.006056506,-0.060333334,4.017896546
5/31/2014,6.48978356,0.09187585,0.002800258,0.02483871,2.141267798
6/30/2014,-1.87061905,0.05185296,0.002029441,0.07,2.860233443
7/31/2014,1.90965369,0.00475888,-0.000575927,0.062258065,-0.328110802
8/31/2014,0.76146998,-0.05088409,-0.000303352,0.054516129,-0.591595693
9/30/2014,-0.63259649,-0.08709481,-0.000903645,0.072666666,2.644553724
10/31/2014,3.51923395,-0.13396027,-0.00282683,0.073225807,3.413097837
11/30/2014,4.26706265,-0.16934461,0.009462773,0.084000001,-0.063699815
12/31/2014,5.25201083,-0.19999483,0.01376699,0.116774194,-3.333970584
1/31/2015,4.14283334,-0.21178243,0.019579092,0.114193549,-5.52758925
2/28/2015,-0.96315789,-0.21418355,0.019729044,0.122857144,-1.369071945
3/31/2015,-1.82910607,-0.21495008,-0.000394055,0.100322581,0.055537484
4/30/2015,-0.93415585,-0.22070672,-0.006628895,0.089000001,-5.828821516
5/31/2015,1.88166016,-0.21739788,-0.006775533,0.058064516,-4.960790247
6/30/2015,8.52818831,-0.20640874,-0.007045824,0.031333333,-5.725679844
7/31/2015,3.7340909,-0.19656344,-0.007130249,0.040967742,-3.434991644
8/31/2015,6.65428572,-0.18102202,-0.005598065,0.04483871,-3.224876487
9/30/2015,12.13580952,-0.1725504,0.00198438,0.039333334,-4.631486886
10/31/2015,-3.92001976,-0.15646792,0.008244782,0.032580645,-6.044767133
11/30/2015,2.30768422,-0.14157548,-0.001129716,0.018,-3.541556252
12/31/2015,-0.36670996,-0.12151111,-0.01097945,0.080645161,-3.483736164
1/31/2016,-0.28015288,-0.1071706,-0.018419304,0.184838709,-1.443050665
2/29/2016,6.17857894,-0.08627472,-0.022748493,0.220172413,-3.505805273
3/31/2016,1.06030304,-0.0671643,-0.012413148,0.214516129,-4.103232818
4/30/2016,1.50904763,-0.04713911,-0.007884556,0.206333332,-1.630507018
