Date,VIX,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
1/31/2010,20.64315789,14.62929182,6.82571489,0.11,-33.73595181
2/28/2010,22.54,14.63415527,6.832179808,0.126428571,-33.73095884
3/31/2010,17.7673913,14.64762954,6.837906899,0.164516129,-34.85954965
4/30/2010,17.42428571,14.66083662,6.840604282,0.198333333,-34.96858104
5/31/2010,31.9295,14.66429282,6.843189291,0.200645161,-31.49225924
6/30/2010,29.91636364,14.66458475,6.8473284,0.176666667,-29.35671585
7/31/2010,25.5652381,14.66248915,6.850935955,0.182580645,-29.44081664
8/31/2010,24.74590909,14.65585814,6.852335059,0.189354839,-30.58921641
9/30/2010,22.51761905,14.64926619,6.857861426,0.194666667,-30.74298356
10/31/2010,20.37333333,14.65043895,6.867317586,0.191290323,-30.00763693
11/30/2010,20.09571429,14.65641794,6.878213434,0.194333333,-34.41248235
12/31/2010,17.56954545,14.68792957,6.886930133,0.183225806,-28.98190976
1/31/2011,17.3155,14.70882801,6.886442262,0.168387097,-26.77610032
2/28/2011,17.43,14.73299947,6.894758688,0.156785714,-25.6192661
3/31/2011,20.72347826,14.76555362,6.908449838,0.138709677,-25.6172224
4/30/2011,16.244,14.79860453,6.91707769,0.098,-26.37585959
5/31/2011,16.91142857,14.82677141,6.92428245,0.093870968,-25.22653204
6/30/2011,19.15318182,14.85572592,6.931009394,0.092,-26.18189636
7/31/2011,19.2275,14.87008858,6.936896761,0.070967742,-25.07054487
8/31/2011,35.02913043,14.86709168,6.940261578,0.095806452,-25.02585152
9/30/2011,36.53,14.86553361,6.945761312,0.084,-25.02232937
10/31/2011,32.82904762,14.86445963,6.949021255,0.070645161,-23.10523226
11/30/2011,31.94190476,14.85434531,6.9615146,0.081,-21.18963617
12/31/2011,25.04761905,14.87723053,6.972049161,0.071612903,-20.25058505
1/31/2012,20.228,14.88502062,6.975124867,0.081935484,-18.48627933
2/29/2012,18.4205,14.89048909,6.984898711,0.103793103,-18.48939653
3/31/2012,16.16727273,14.87582284,6.998661457,0.126774194,-17.63805895
4/30/2012,17.823,14.86936159,7.003045231,0.139333333,-17.64124235
5/31/2012,21.00181818,14.86504205,7.006395001,0.155806452,-17.67046112
6/30/2012,21.13095238,14.86768459,7.010803849,0.161666667,-17.67261482
7/31/2012,17.56238095,14.86586888,7.015493142,0.156451613,-17.69107676
8/31/2012,15.68956522,14.8578405,7.017386243,0.132258065,-16.94289672
9/30/2012,15.28473684,14.85150674,7.026771998,0.144333333,-14.53476294
10/31/2012,16.27619048,14.85445465,7.034055364,0.158387097,-14.4523014
11/30/2012,16.70190476,14.86550649,7.046664249,0.160666667,-13.73669601
12/31/2012,17.3445,14.8806176,7.053322296,0.164516129,-15.30670522
1/31/2013,13.5052381,14.90273357,7.056246316,0.142580645,-16.16455047
2/28/2013,14.07263158,14.9367768,7.06011965,0.145,-13.87059038
3/31/2013,13.0315,14.96950591,7.068473275,0.143548387,-12.50395649
4/30/2013,13.96727273,14.99853691,7.071930686,0.145,-13.29569469
5/31/2013,13.49363636,15.02625552,7.077519825,0.109032258,-12.57811864
6/30/2013,17.2715,15.05099853,7.08145078,0.093666667,-12.51138232
7/31/2013,13.97454545,15.07856716,7.087223435,0.092580645,-11.12697618
8/31/2013,14.21,15.10486758,7.089074876,0.082903226,-10.42733136
9/30/2013,14.692,15.1219786,7.095335899,0.08,-10.43778712
10/31/2013,15.40782609,15.15062099,7.101202054,0.087096774,-10.46501135
11/30/2013,12.924,15.17594485,7.107298111,0.084333333,-8.575175647
12/31/2013,14.19238095,15.19975394,7.115001942,0.08516129,-7.406970197
1/31/2014,14.24095238,15.21784582,7.116094911,0.071612903,-6.970155406
2/28/2014,15.47,15.23487424,7.120876373,0.066428571,-7.558017817
3/31/2014,14.83666667,15.25072454,7.140124939,0.078064516,-7.464860238
4/30/2014,14.19809524,15.26745145,7.146872647,0.090333333,-4.932250484
5/31/2014,12.4752381,15.27934484,7.151444907,0.087096774,-5.344508362
6/30/2014,11.54142857,15.28616543,7.154127152,0.095666667,-4.489916377
7/31/2014,12.29636364,15.29602432,7.158377801,0.090967742,-4.890986402
8/31/2014,13.49190476,15.30101057,7.160460157,0.088064516,-4.503361693
9/30/2014,13.46666667,15.30535565,7.162996155,0.088333333,-3.696257576
10/31/2014,18.05869565,15.31282706,7.165521914,0.089032258,-3.064623463
11/30/2014,13.41315789,15.3170386,7.177394746,0.092,-3.477355099
12/31/2014,16.29227273,15.31889545,7.190448578,0.122580645,-2.841205758
1/31/2015,19.1195,15.32117564,7.195522598,0.11483871,-3.303349592
2/28/2015,15.90421053,15.31878813,7.20136214,0.110714286,-2.614517199
3/31/2015,14.81272727,15.31699309,7.211382548,0.112903226,-2.370226502
4/30/2015,13.4947619,15.31565927,7.215185713,0.124666667,-2.397627794
5/31/2015,13.3385,15.31503628,7.218594456,0.123225806,-3.071688331
6/30/2015,14.33954545,15.31492359,7.2197577,0.129,-2.194130278
7/31/2015,14.35227273,15.31691804,7.222401918,0.130322581,-2.089988268
8/31/2015,19.42809524,15.31613154,7.226247373,0.138064516,-1.804268513
9/30/2015,24.37714286,15.3161823,7.232640791,0.136,-1.586214918
10/31/2015,16.78954545,15.31856521,7.238086556,0.123548387,-1.709002709
11/30/2015,16.21,15.31655687,7.246361665,0.117666667,-1.921090803
12/31/2015,18.02545455,15.31652585,7.254915764,0.240645161,-1.759177483
1/31/2016,23.71789474,15.31733486,7.256530981,0.342903226,-1.079594443
2/29/2016,22.517,15.3164273,7.259099414,0.375172414,-1.176821854
3/31/2016,15.84909091,15.31609734,7.270227009,0.362258065,-1.378825584
4/30/2016,14.30047619,15.31672798,7.275614223,0.365333333,-1.493512122
5/31/2016,14.85285714,15.31348789,7.28000653,0.36516129,-0.892665495
6/30/2016,17.77454545,15.31273085,7.284481898,0.377666667,-1.061595672
7/31/2016,13.1585,15.31336183,7.288707213,0.391612903,-0.815379536
8/31/2016,12.39956522,15.31218036,7.289160318,0.396774194,-0.901463501
9/30/2016,14.21952381,15.31211919,7.293187733,0.396333333,-1.099896862
10/31/2016,14.5852381,15.31059279,7.296962779,0.396451613,-0.84236148
11/30/2016,15.23619048,15.30948806,7.305550918,0.406666667,-0.546663415
12/31/2016,12.47238095,15.31066667,7.312790128,0.54,-0.519441513
1/31/2017,11.6085,15.30949306,7.316268238,0.649677419,-0.499787461
2/28/2017,11.53052632,15.31029463,7.316318749,0.656785714,-0.372836228
3/31/2017,11.89782609,15.31224054,7.331138102,0.786129032,-0.254522988
4/30/2017,13.13631579,15.31449378,7.339195104,0.896,-0.24850999
5/31/2017,10.86227273,15.31256688,7.344824475,0.907419355,-0.280618992
6/30/2017,10.51363636,15.31269291,7.349365703,1.04,-0.182453787
7/31/2017,10.2645,15.31268423,7.35410158,1.150645161,-0.260024187
8/31/2017,11.97565217,15.31133161,7.355825239,1.157096774,-0.405176421
9/30/2017,10.438,15.31059682,7.364100588,1.153333333,-0.263221036
10/31/2017,10.12545455,15.31125763,7.367243976,1.153870968,-0.133134846
11/30/2017,10.54047619,15.30850162,7.372828398,1.157,-0.131927828
12/31/2017,10.2645,15.30762918,7.380595195,1.301612903,-0.087970518
1/31/2018,11.06238095,15.30569036,7.384821782,1.414516129,-0.072211146
2/28/2018,22.46473684,15.30055627,7.387882955,1.4175,-0.056354242
3/31/2018,19.02380952,15.29693184,7.39819721,1.506129032,0.006857353
4/30/2018,18.26761905,15.29304872,7.40242149,1.692333333,0.000151903
5/31/2018,14.12454545,15.28415719,7.409063031,1.7,0.051604926
6/30/2018,13.67809524,15.27792556,7.415338702,1.819666667,0.004514261
7/31/2018,13.14761905,15.27122959,7.420013925,1.91,0.055669035
8/31/2018,12.54695652,15.25961802,7.421541316,1.91483871,0.040663781
9/30/2018,12.91052632,15.25180126,7.429826286,1.954666667,0.091552564
10/31/2018,19.35217391,15.24294,7.432561793,2.187741935,0.035108019
11/30/2018,19.38904762,15.23204286,7.439325586,2.197666667,0.043580072
12/31/2018,24.95315789,15.22248143,7.442429598,2.274193548,0.013209468
1/31/2019,19.57238095,15.21431213,7.444088286,2.4,-0.027604851
2/28/2019,15.23052632,15.20247913,7.442952049,2.4,-0.070025776
3/31/2019,14.4852381,15.19295702,7.449650553,2.40516129,-0.151081883
4/30/2019,12.94904762,15.18493803,7.453798663,2.423666667,0.06400798
5/31/2019,16.72181818,15.16920605,7.457162912,2.390967742,0.011074432
6/30/2019,15.836,15.1615318,7.460352638,2.377666667,0.080157544
7/31/2019,13.30590909,15.15150503,7.465596808,2.402903226,0.019472121
8/31/2019,18.97909091,15.14340571,7.466865368,2.125806452,0.068156518
9/30/2019,15.559,15.15271912,7.474580445,2.043,0.16740392
10/31/2019,15.46652174,15.19431595,7.47844371,1.829677419,0.079549444
11/30/2019,12.5235,15.21240164,7.487510332,1.553333333,-0.026577107
12/31/2019,13.75666667,15.23038205,7.49234782,1.550967742,0.028774438
1/31/2020,13.94095238,15.24086033,7.494977562,1.550645161,0.20283289
2/29/2020,19.62894737,15.24340279,7.493308201,1.583103448,0.241417719
3/31/2020,57.73681818,15.34568381,7.509924544,0.652258065,-0.247492678
4/30/2020,41.45380952,15.65579666,7.542944691,0.049,-115.6676218
5/31/2020,30.897,15.75390039,7.565134598,0.05,-85.63542335
6/30/2020,31.11954545,15.77951126,7.578334713,0.077666667,-49.75312338
7/31/2020,26.84045455,15.75575173,7.589976892,0.092580645,-38.92744427
8/31/2020,22.88952381,15.7579708,7.603161656,0.09516129,-19.61208378
9/30/2020,27.64761905,15.76830754,7.613940198,0.09,-15.39502393
10/31/2020,29.43863636,15.78086073,7.620803734,0.09,-8.747501736
11/30/2020,24.9955,15.78932961,7.62833923,0.086333333,-7.669512734
12/31/2020,22.37409091,15.80598574,7.635558153,0.09,-7.56021125
1/31/2021,24.91,15.81322147,7.646609065,0.08516129,-6.000884362
2/28/2021,23.14052632,15.83042478,7.649795595,0.075714286,-5.102722458
3/31/2021,21.84304348,15.84994273,7.656943227,0.069677419,-4.000702964
4/30/2021,17.41619048,15.86654928,7.675462124,0.069,-2.82772871
5/31/2021,19.7605,15.87817378,7.681529919,0.058064516,-1.116398267
6/30/2021,16.95681818,15.898266,7.686549373,0.078,-1.093715879
7/31/2021,17.60333333,15.91846801,7.689882418,0.098064516,0.611391925
8/31/2021,17.47272727,15.93078888,7.690558389,0.092258065,1.117316512
