Date,VIX,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
12/31/2002,28.21047619,13.49503046,6.516891057,1.238387097,-4.053360095
12/31/2003,22.09081057,13.51243638,6.541645093,1.127535202,-4.154179114
12/31/2004,15.48528451,13.55978143,6.591987457,1.348927821,-2.39779883
12/31/2005,12.79518764,13.60969909,6.635686868,3.21284415,-1.155495916
12/31/2006,12.78101981,13.64723796,6.677081236,4.962731055,-0.197331535
12/31/2007,17.44885313,13.67941281,6.699153635,5.018884729,-0.315346036
12/31/2008,32.65584009,13.91745129,6.72398601,1.926586145,-3.88122385
12/31/2009,31.66154999,14.54712636,6.81051951,0.159082693,-29.58215199
12/31/2010,22.59067149,14.6552659,6.851709764,0.176003456,-31.85992184
12/31/2011,24.03189921,14.82393603,6.930627082,0.101815476,-24.62175467
12/31/2012,17.80256846,14.8691013,7.014385201,0.140493511,-16.68854101
12/31/2013,14.22854427,15.0597117,7.084239737,0.107575269,-11.61362874
12/31/2014,14.14845353,15.2822965,7.153728357,0.088348438,-4.93612489
12/31/2015,16.68264633,15.31695465,7.223538269,0.133466334,-2.235106866
12/31/2016,15.92360525,15.31343459,7.284359929,0.393027809,-0.984018456
12/31/2017,11.09647168,15.31114857,7.349317112,1.000797555,-0.260015357
12/31/2018,16.74338903,15.26986859,7.415285306,1.832437724,0.017862166
12/31/2019,15.36547497,15.18417947,7.464445799,2.158595878,0.020275565
12/31/2020,29.08024147,15.63978012,7.573033681,0.375562384,-29.06426569
8/31/2021,19.88789238,15.87322937,7.672166264,0.078242512,-2.301680525
