Date,Log Stock Price,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
12/31/2002,6.779717341,13.49503046,6.516891057,1.238387097,-4.053360095
1/31/2003,6.751919847,13.49353844,6.521226835,1.23516129,-3.288373418
2/28/2003,6.734770003,13.48884646,6.521846077,1.262142857,-3.684399904
3/31/2003,6.743092877,13.49206486,6.527099362,1.252903226,-3.66357056
4/30/2003,6.821020227,13.5102433,6.532414929,1.258,-4.161742386
5/31/2003,6.870665893,13.51218408,6.537446747,1.259032258,-4.546274924
6/30/2003,6.881924519,13.51266307,6.539518757,1.222666667,-5.513140013
7/31/2003,6.898018025,13.51664107,6.542842209,1.011290323,-5.020832396
8/31/2003,6.915733369,13.51469799,6.54347506,1.029032258,-4.670800742
9/30/2003,6.903717137,13.51872955,6.547787778,1.01,-4.695757463
10/31/2003,6.957221405,13.52391203,6.552088684,1.01,-4.188891925
11/30/2003,6.96432463,13.52489251,6.560047509,0.996,-3.395646
12/31/2003,7.01384353,13.54082315,6.57394717,0.984193548,-3.020719642
1/31/2004,7.030972412,13.54099246,6.570535563,0.997096774,-2.9194194
2/29/2004,7.043107513,13.53267572,6.56983164,1.007241379,-2.581539919
3/31/2004,7.026613292,13.53518536,6.570775394,1.001612903,-3.259341126
4/30/2004,7.009679899,13.54394065,6.574766518,1.004,-2.559841704
5/31/2004,7.021690923,13.54490026,6.578805627,1.004516129,-2.559975406
6/30/2004,7.039520112,13.55491173,6.588152037,1.025666667,-2.548150987
7/31/2004,7.004627874,13.56202989,6.599635778,1.263548387,-2.25055319
8/31/2004,7.006912595,13.55556751,6.599353359,1.429354839,-1.969965929
9/30/2004,7.016232931,13.57508274,6.604145972,1.605,-1.962703355
10/31/2004,7.030149887,13.577745,6.607752956,1.760967742,-2.250284855
11/30/2004,7.068018667,13.59082551,6.615504452,1.932,-1.956113932
12/31/2004,7.099961158,13.60352033,6.62459019,2.156129032,-1.955696159
1/31/2005,7.07434541,13.60119635,6.620335839,2.279354839,-1.660724987
2/28/2005,7.093072345,13.5930627,6.620592738,2.501785714,-1.929524958
3/31/2005,7.073769593,13.59545174,6.622847222,2.629032258,-1.37458162
4/30/2005,7.053456073,13.5969266,6.624941338,2.785,-1.428228492
5/31/2005,7.082968297,13.59937241,6.625637033,3.002580645,-1.178534296
6/30/2005,7.082825609,13.60804742,6.633312907,3.035666667,-0.992586397
7/31/2005,7.118162061,13.61139728,6.638367835,3.262580645,-0.98682333
8/31/2005,7.106876593,13.61111736,6.637713236,3.499677419,-0.784723033
9/30/2005,7.1138015,13.61790895,6.643711931,3.623,-0.962317787
10/31/2005,7.095901506,13.61609238,6.644848417,3.779354839,-0.930274676
11/30/2005,7.130482744,13.62459409,6.652371554,3.999,-0.906229858
12/31/2005,7.129529894,13.64122175,6.663562361,4.157096774,-0.731401558
1/31/2006,7.154677855,13.63702842,6.668003001,4.28516129,-0.469486896
2/28/2006,7.155130849,13.63375364,6.666165131,4.491428571,-0.620805582
3/31/2006,7.166165583,13.63955541,6.670659344,4.589354839,-0.461988745
4/30/2006,7.178247957,13.63888525,6.672720684,4.790333333,-0.359499678
5/31/2006,7.146843043,13.64407102,6.677468526,4.940322581,-0.193089674
6/30/2006,7.146929647,13.64831955,6.677457761,4.991,-0.004847153
7/31/2006,7.152002572,13.6493072,6.67949648,5.23516129,-0.192120475
8/31/2006,7.173053696,13.6463951,6.676580312,5.246451613,-0.040803896
9/30/2006,7.197323072,13.64639433,6.677674282,5.254666667,0.116892293
10/31/2006,7.228344909,13.65254535,6.677258824,5.24516129,0.087142464
11/30/2006,7.244677414,13.66271223,6.685288998,5.245666667,-0.169061313
12/31/2006,7.25721425,13.66788806,6.696201494,5.238064516,-0.060309762
1/31/2007,7.271175423,13.66615009,6.695611013,5.248387097,-0.10952493
2/28/2007,7.249087117,13.67305374,6.691294039,5.258928571,0.059908868
3/31/2007,7.259017601,13.67437403,6.6925058,5.256774194,-0.016846184
4/30/2007,7.301397437,13.67301943,6.694013331,5.249666667,-0.205308758
5/31/2007,7.333428161,13.68234641,6.696417267,5.253548387,-0.154156578
6/30/2007,7.31545123,13.67305057,6.698365768,5.254,-0.360159916
7/31/2007,7.282946729,13.67705966,6.702757653,5.258387097,-0.488357817
8/31/2007,7.295728288,13.67309248,6.69916999,5.022258065,-0.360202039
9/30/2007,7.330896572,13.68628474,6.69937564,4.938,-0.479519854
10/31/2007,7.34561013,13.68533422,6.701540376,4.755483871,-0.456101766
11/30/2007,7.300567341,13.69495349,6.70913024,4.486666667,-0.377511098
12/31/2007,7.291901411,13.6942349,6.709662508,4.244516129,-0.836372357
1/31/2008,7.228787501,13.70436423,6.706087709,3.940322581,-0.962700548
2/29/2008,7.193407793,13.68960742,6.702487254,2.980689655,-0.804812253
3/31/2008,7.187430381,13.6990846,6.705203872,2.610322581,-1.181502897
4/30/2008,7.233881321,13.69504836,6.701882967,2.278333333,-0.993066853
5/31/2008,7.244498907,13.70232618,6.706478706,1.978387097,-1.937774862
6/30/2008,7.154615357,13.70501633,6.712745972,2.001,-2.513864098
7/31/2008,7.144707056,13.7167873,6.72136112,2.009677419,-3.179995829
8/31/2008,7.156823854,13.71705255,6.722044184,1.996451613,-4.362526867
9/30/2008,7.061643067,13.82493996,6.726164455,1.811666667,-4.408062083
10/31/2008,6.876006581,14.36225217,6.74420311,0.969354839,-6.38381673
11/30/2008,6.798208234,14.57868636,6.761658992,0.387666667,-8.212058324
12/31/2008,6.80599937,14.61425006,6.777513783,0.15516129,-11.63450485
1/31/2009,6.716449485,14.52543459,6.786924604,0.154193548,-15.63777479
2/28/2009,6.599992941,14.44764818,6.795879697,0.222142857,-19.72733738
3/31/2009,6.681945677,14.50104496,6.80322997,0.180645161,-23.62131018
4/30/2009,6.771717892,14.56857915,6.806178264,0.150333333,-26.14711174
5/31/2009,6.82343845,14.57372612,6.80850329,0.177419355,-30.5471244
6/30/2009,6.823634266,14.53677011,6.810777034,0.206333333,-31.88891816
7/31/2009,6.895156243,14.51963388,6.812960526,0.155806452,-32.13919057
8/31/2009,6.928165565,14.52596276,6.814295062,0.160322581,-33.17942538
9/30/2009,6.963265669,14.56797327,6.816702364,0.146666667,-35.26748452
10/31/2009,6.943305804,14.59179515,6.81927018,0.118064516,-36.5784277
11/30/2009,6.999084819,14.59428276,6.822460428,0.119,-35.2016935
12/31/2009,7.016699366,14.61266544,6.829052706,0.118064516,-35.05002555
1/31/2010,6.979024225,14.62929182,6.82571489,0.11,-33.73595181
2/28/2010,7.007138969,14.63415527,6.832179808,0.126428571,-33.73095884
3/31/2010,7.06427173,14.64762954,6.837906899,0.164516129,-34.85954965
4/30/2010,7.078923198,14.66083662,6.840604282,0.198333333,-34.96858104
5/31/2010,6.993391544,14.66429282,6.843189291,0.200645161,-31.49225924
6/30/2010,6.938003164,14.66458475,6.8473284,0.176666667,-29.35671585
7/31/2010,7.004518947,14.66248915,6.850935955,0.182580645,-29.44081664
8/31/2010,6.955907144,14.65585814,6.852335059,0.189354839,-30.58921641
9/30/2010,7.039835619,14.64926619,6.857861426,0.194666667,-30.74298356
10/31/2010,7.07602862,14.65043895,6.867317586,0.191290323,-30.00763693
11/30/2010,7.073735711,14.65641794,6.878213434,0.194333333,-34.41248235
12/31/2010,7.136992228,14.68792957,6.886930133,0.183225806,-28.98190976
1/31/2011,7.159385213,14.70882801,6.886442262,0.168387097,-26.77610032
2/28/2011,7.190841808,14.73299947,6.894758688,0.156785714,-25.6192661
3/31/2011,7.189793957,14.76555362,6.908449838,0.138709677,-25.6172224
4/30/2011,7.217890874,14.79860453,6.91707769,0.098,-26.37585959
5/31/2011,7.20429798,14.82677141,6.92428245,0.093870968,-25.22653204
6/30/2011,7.185871747,14.85572592,6.931009394,0.092,-26.18189636
7/31/2011,7.164163379,14.87008858,6.936896761,0.070967742,-25.07054487
8/31/2011,7.105695888,14.86709168,6.940261578,0.095806452,-25.02585152
9/30/2011,7.03122876,14.86553361,6.945761312,0.084,-25.02232937
10/31/2011,7.133535352,14.86445963,6.949021255,0.070645161,-23.10523226
11/30/2011,7.128463868,14.85434531,6.9615146,0.081,-21.18963617
12/31/2011,7.136960422,14.87723053,6.972049161,0.071612903,-20.25058505
1/31/2012,7.179620421,14.88502062,6.975124867,0.081935484,-18.48627933
2/29/2012,7.219407752,14.89048909,6.984898711,0.103793103,-18.48939653
3/31/2012,7.250259288,14.87582284,6.998661457,0.126774194,-17.63805895
4/30/2012,7.242733543,14.86936159,7.003045231,0.139333333,-17.64124235
5/31/2012,7.178034293,14.86504205,7.006395001,0.155806452,-17.67046112
6/30/2012,7.216826954,14.86768459,7.010803849,0.161666667,-17.67261482
7/31/2012,7.229345903,14.86586888,7.015493142,0.156451613,-17.69107676
8/31/2012,7.248916505,14.8578405,7.017386243,0.132258065,-16.94289672
9/30/2012,7.272863562,14.85150674,7.026771998,0.144333333,-14.53476294
10/31/2012,7.252875726,14.85445465,7.034055364,0.158387097,-14.4523014
11/30/2012,7.255718385,14.86550649,7.046664249,0.160666667,-13.73669601
12/31/2012,7.262761832,14.8806176,7.053322296,0.164516129,-15.30670522
1/31/2013,7.311959593,14.90273357,7.056246316,0.142580645,-16.16455047
2/28/2013,7.322959475,14.9367768,7.06011965,0.145,-13.87059038
3/31/2013,7.358314842,14.96950591,7.068473275,0.143548387,-12.50395649
4/30/2013,7.376239004,14.99853691,7.071930686,0.145,-13.29569469
5/31/2013,7.396789179,15.02625552,7.077519825,0.109032258,-12.57811864
6/30/2013,7.381676226,15.05099853,7.08145078,0.093666667,-12.51138232
7/31/2013,7.429953983,15.07856716,7.087223435,0.092580645,-11.12697618
8/31/2013,7.398155722,15.10486758,7.089074876,0.082903226,-10.42733136
9/30/2013,7.427471266,15.1219786,7.095335899,0.08,-10.43778712
10/31/2013,7.471101244,15.15062099,7.101202054,0.087096774,-10.46501135
11/30/2013,7.498764524,15.17594485,7.107298111,0.084333333,-8.575175647
12/31/2013,7.522054038,15.19975394,7.115001942,0.08516129,-7.406970197
1/31/2014,7.485822642,15.21784582,7.116094911,0.071612903,-6.970155406
2/28/2014,7.528036024,15.23487424,7.120876373,0.066428571,-7.558017817
3/31/2014,7.534944264,15.25072454,7.140124939,0.078064516,-7.464860238
4/30/2014,7.541125916,15.26745145,7.146872647,0.090333333,-4.932250484
5/31/2014,7.561938114,15.27934484,7.151444907,0.087096774,-5.344508362
6/30/2014,7.580817092,15.28616543,7.154127152,0.095666667,-4.489916377
7/31/2014,7.565622372,15.29602432,7.158377801,0.090967742,-4.890986402
8/31/2014,7.602586042,15.30101057,7.160460157,0.088064516,-4.503361693
9/30/2014,7.586950583,15.30535565,7.162996155,0.088333333,-3.696257576
10/31/2014,7.609886978,15.31282706,7.165521914,0.089032258,-3.064623463
11/30/2014,7.634124447,15.3170386,7.177394746,0.092,-3.477355099
