Date,VIX,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
8/31/2004,16.8752382,13.53988007,6.573810588,1.061102552,-2.995816891
8/31/2005,13.1393958,13.59697879,6.622978477,2.537481247,-1.538377118
8/31/2006,13.25604903,13.63642773,6.666087125,4.510638761,-0.489405498
8/31/2007,13.84260331,13.66847387,6.692213205,5.232125768,-0.138331973
8/31/2008,22.82651623,13.69917453,6.708166712,3.184987579,-1.507145774
8/31/2009,41.01924849,14.46491069,6.787357399,0.39425384,-20.29388622
8/31/2010,23.72827755,14.63215456,6.834806689,0.15419342,-33.3559734
8/31/2011,20.21586927,14.75580966,6.902458437,0.139836982,-27.50319048
8/31/2012,22.86433841,14.8698916,6.986679569,0.113773081,-19.31665079
8/31/2013,14.92780469,14.96002729,7.062737729,0.131851255,-13.37575551
8/31/2014,13.8139047,15.23181163,7.130601408,0.083735535,-6.919916758
8/31/2015,15.50170051,15.31581186,7.200567987,0.114640169,-2.743769864
8/31/2016,17.49767271,15.31551489,7.264652697,0.299561859,-1.31461201
8/31/2017,12.3585469,15.31155536,7.326294062,0.748600422,-0.459357777
8/31/2018,13.80701611,15.29392857,7.393670714,1.511733423,-0.048779863
8/31/2019,16.97374308,15.1974667,7.448717545,2.295036738,0.014800517
8/31/2020,25.15106164,15.44355804,7.525887097,0.927282814,-25.76248233
8/31/2021,21.96324878,15.84419321,7.656330952,0.081856119,-4.815474488
