Date,VIX,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
12/31/2004,-0.48586044,,0.025588328,0.332244514,1.756380284
12/31/2005,3.91542919,-0.02736652,-0.006642953,1.64252371,1.242302914
12/31/2006,2.67592904,-0.0149514,-0.002305043,-0.114029424,0.958164381
12/31/2007,4.68200115,0.00701477,-0.019321969,-1.693733231,-0.118014501
12/31/2008,10.53915364,0.21122765,0.002759976,-3.148452258,-3.565877814
12/31/2009,-16.20127706,0.18577296,0.061701125,1.324795132,-25.70092814
12/31/2010,-8.0765884,-0.91317212,-0.045343246,1.784424215,-2.27776985
12/31/2011,10.51210622,0.58206612,0.037727064,-0.091108743,7.23816717
12/31/2012,-7.67055847,-0.18403545,0.004840801,0.112866015,7.93321366
12/31/2013,2.65530656,0.26894999,-0.013903583,-0.071596277,5.07491227
12/31/2014,3.49393345,-0.11347073,-0.000365916,0.013691411,6.67750385
12/31/2015,2.61428354,-0.21990105,0.000321292,0.064344727,2.701018024
12/31/2016,-3.29323388,0.14974844,-0.008988252,0.214443579,1.25108841
12/31/2017,-4.06809249,0.03941225,0.004135523,0.348208271,0.724003099
12/31/2018,10.47405092,-0.040228,0.001011011,0.223870423,0.277877523
12/31/2019,-7.02483141,-0.00541518,-0.016807701,-0.505482015,0.002413399
12/31/2020,15.09268056,0.58569891,0.059427389,-2.109191648,-29.08454125
8/31/2021,-22.90711559,-0.76344117,-0.009455299,1.485713622,26.76258516
